"col1","col2","col3","col4","col5","col6"
"Keywords: integration activities, settlement activities","""Integration Programs"", ""Settlement Programs""","""Integration of immigrants"", ""Measuring integration"", ""Integration index"", ""Political integration""",NA,NA,NA
"Status","Person in charge","Auteur, date","Title (ARTICLES FONDAMENTAUX EN COULEUR)","Link to the article","[Keywords (pour différencier)"
"Read","Thomas","Raihan, M. M., Chowdhury, N., & Turin, T. C. (2023)","Low job market integration of skilled immigrants in Canada: the implication for social integration and mental well-being","https://www.mdpi.com/2075-4698/13/3/75","Measuring integration"
"Read","Thomas","Charles-Rodriguez, U., & Larouche, R. (2024)","Being “outdoors” in a new country: associations between immigrant characteristics, outdoor recreation activities, and settlement satisfaction in Canada.","https://www.sciencedirect.com/science/article/pii/S2666558123000192","Settlement Activities"
"Read","Thomas","Da, W. W., & Garcia, A. (2015).","Later life migration: Sociocultural adaptation and changes in quality of life at settlement among recent older Chinese immigrants in Canada.","https://www.tandfonline.com/doi/abs/10.1080/01924788.2015.1063330","Measuring integration"
"Read","Thomas","Drolet, J. L., & Teixeira, C. (2022).","Fostering immigrant settlement and housing in small cities: Voices of settlement practitioners and service providers in British Columbia","https://www.tandfonline.com/doi/full/10.1016/j.soscij.2019.07.010?casa_token=ntx7kdqlIAkAAAAA%3APBBsdk9RYgE2YW7V7tlLMBBVcnnDy-n-Dt0u79NyHh30ULKXETx6ywGdjrhn27tBbStD0PT8foHw","Settlement Activities"
"Read","Thomas","Cuconato, M. (2023).","Participation and Social Innovation as a Compass towards Integration: The Rationale behind the INTE-great Project.","https://www.mdpi.com/2075-4698/13/6/145","Policy feedback; Integration"
"Read","Thomas","Ashura, C. (2021).","The Effects of Immigration and Refugee Policies on Social Integration and Community.","https://docs.iza.org/dp15736.pdf","Policy feedback; Integration"
"Read","Thomas","Coșciug, A. (2018).","Measuring integration in new countries of immigration.","https://intapi.sciendo.com/pdf/10.2478/scr-2018-0003","Measuring integration"
"Read","Juliette","Neureiter, M. (2022).","The Effect of Immigrant Integration Policies on Public Immigration Attitudes: Evidence from a Survey Experiment in the United Kingdom.","https://journals.sagepub.com/doi/full/10.1177/01979183211063499","Policy feedback; Integration"
"Read","Juliette","Ager, A., & Strang, A. (2008).","Understanding integration: A conceptual framework.","https://academic.oup.com/jrs/article/21/2/166/1621262","Policy feedback; Integration"
